stkcd,名稱,change_type,eff_date,remarks,event_type,ann_date
600219,南山鋁業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600218,全柴動力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600216,浙江醫藥,加入,2014-11-17,首張可買入及賣出股票名單,In,
600210,紫江企業,加入,2014-11-17,首張可買入及賣出股票名單,In,
600208,新湖中寶,加入,2014-11-17,首張可買入及賣出股票名單,In,
600201,金宇集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
600200,江蘇吳中,加入,2014-11-17,首張可買入及賣出股票名單,In,
600199,金種子酒,加入,2014-11-17,首張可買入及賣出股票名單,In,
600197,伊力特,加入,2014-11-17,首張可買入及賣出股票名單,In,
600196,復星醫藥,加入,2014-11-17,首張可買入及賣出股票名單,In,
600195,中牧股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600190,錦州港,加入,2014-11-17,首張可買入及賣出股票名單,In,
600266,北京城建,加入,2014-11-17,首張可買入及賣出股票名單,In,
600116,三峽水利,加入,2014-11-17,首張可買入及賣出股票名單,In,
600114,東睦股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600048,保利地產,加入,2014-11-17,首張可買入及賣出股票名單,In,
600039,四川路橋,加入,2014-11-17,首張可買入及賣出股票名單,In,
600038,哈飛股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600037,歌華有線,加入,2014-11-17,首張可買入及賣出股票名單,In,
600036,招商銀行,加入,2014-11-17,首張可買入及賣出股票名單,In,
600033,福建高速,加入,2014-11-17,首張可買入及賣出股票名單,In,
600031,三一重工,加入,2014-11-17,首張可買入及賣出股票名單,In,
600030,中信證券,加入,2014-11-17,首張可買入及賣出股票名單,In,
600029,南方航空,加入,2014-11-17,首張可買入及賣出股票名單,In,
600028,中國石化,加入,2014-11-17,首張可買入及賣出股票名單,In,
600027,華電國際,加入,2014-11-17,首張可買入及賣出股票名單,In,
600026,中海發展,加入,2014-11-17,首張可買入及賣出股票名單,In,
600023,浙能電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600021,上海電力,加入,2014-11-17,首張可買入及賣出股票名單,In,
600020,中原高速,加入,2014-11-17,首張可買入及賣出股票名單,In,
600019,寶鋼股份,加入,2014-11-17,首張可買入及賣出股票名單,In,
600018,上港集團,加入,2014-11-17,首張可買入及賣出股票名單,In,
